amadeus_code,tripadvisor_name,lat,lon,location_cell,total_amount,date
XTNYC720,The Manhattan Club,40.76488,-73.98072,23.0,520.73,2017-11-16
XTNYC720,The Manhattan Club,40.76488,-73.98072,23.0,520.73,2017-11-16
XTNYC720,The Manhattan Club,40.76488,-73.98072,23.0,520.73,2017-11-16
XTNYC720,The Manhattan Club,40.76488,-73.98072,23.0,343.34,2017-11-16
XTNYC720,The Manhattan Club,40.76488,-73.98072,23.0,551.72,2017-11-16
XTNYC720,The Manhattan Club,40.76488,-73.98072,23.0,551.72,2017-11-16
XTNYC720,The Manhattan Club,40.76488,-73.98072,23.0,551.72,2017-11-16
XTNYC720,The Manhattan Club,40.76488,-73.98072,23.0,363.65,2017-11-16
XTNYC720,The Manhattan Club,40.76488,-73.98072,23.0,624.01,2017-11-16
XTNYC720,The Manhattan Club,40.76488,-73.98072,23.0,624.01,2017-11-16
XTNYC720,The Manhattan Club,40.76488,-73.98072,23.0,624.01,2017-11-16
XTNYC720,The Manhattan Club,40.76488,-73.98072,23.0,411.04,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,358.08,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,403.98,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,403.98,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,381.03,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,403.98,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,358.08,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,379.35,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,428.01,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,428.01,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,403.68,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,428.01,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,379.35,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,371.85,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,417.75,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,417.75,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,394.8,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,417.75,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,371.85,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,375.29,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,421.19,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,421.19,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,398.24,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,421.19,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,375.29,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,421.19,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,421.19,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,398.24,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,421.19,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,375.29,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,375.29,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,432.67,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,432.67,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,409.72,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,432.67,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,386.77,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,386.77,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,426.93,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,426.93,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,403.98,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,426.93,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,381.03,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,381.03,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,381.03,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,426.93,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,426.93,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,403.98,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,426.93,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,381.03,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,363.82,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,409.72,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,409.72,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,386.77,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,409.72,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,363.82,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,373.0,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,418.9,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,418.9,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,395.95,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,418.9,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,373.0,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,355.78,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,355.78,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,336.28,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,355.78,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,276.61,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,276.61,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,438.4,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,438.4,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,415.45,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,438.4,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,392.5,2017-11-16
GILGA212,Hilton Garden Inn New York/Manhattan-Chelsea,40.74642,-73.99151,55.0,392.5,2017-11-16
DZNYCDNY,Dream Midtown,40.76446,-73.98166,23.0,345.08,2017-11-16
DZNYCDNY,Dream Midtown,40.76446,-73.98166,23.0,379.5,2017-11-16
DZNYCDNY,Dream Midtown,40.76446,-73.98166,23.0,413.92,2017-11-16
DZNYCDNY,Dream Midtown,40.76446,-73.98166,23.0,471.3,2017-11-16
DZNYCDNY,Dream Midtown,40.76446,-73.98166,23.0,517.2,2017-11-16
DZNYCDNY,Dream Midtown,40.76446,-73.98166,23.0,631.96,2017-11-16
DZNYCDNY,Dream Midtown,40.76446,-73.98166,23.0,689.32,2017-11-16
DZNYCDNY,Dream Midtown,40.76446,-73.98166,23.0,1734.69,2017-11-16
SINYC537,Four Points by Sheraton Manhattan SoHo Village,40.72721,-74.00604,77.0,255.97,2017-11-16
SINYC537,Four Points by Sheraton Manhattan SoHo Village,40.72721,-74.00604,77.0,278.92,2017-11-16
SINYC537,Four Points by Sheraton Manhattan SoHo Village,40.72721,-74.00604,77.0,255.97,2017-11-16
SINYC537,Four Points by Sheraton Manhattan SoHo Village,40.72721,-74.00604,77.0,278.92,2017-11-16
SINYC537,Four Points by Sheraton Manhattan SoHo Village,40.72721,-74.00604,77.0,255.97,2017-11-16
SINYC537,Four Points by Sheraton Manhattan SoHo Village,40.72721,-74.00604,77.0,278.92,2017-11-16
SINYC537,Four Points by Sheraton Manhattan SoHo Village,40.72721,-74.00604,77.0,278.92,2017-11-16
