name,date_scraped,check_in,check_out,adults,rooms,address,provider,reviews,rating,price,range,amenities,tripadvisor rank,star rating,url
Trump SoHo New York,2017-11-01,12/9/2017,12/10/2017,2,1,"246 Spring Street, New York City, NY 10013-1521",TrumpHotels.com,"3,139",4.5,525,317-716,"['Room Service', 'Restaurant', 'Pool', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Spa', 'Free High Speed Internet ( WiFi )', 'Room Service', 'Airport Transportation', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Conference Facilities', 'Breakfast Available', 'Banquet Room', 'Babysitting', 'Air Conditioning', 'Microwave', 'Minibar', 'Restaurant', 'Pool', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Spa', 'Outdoor pool']",124,5.0 Star Hotel,/Hotel_Review-g60763-d1456416-Reviews-Trump_SoHo_New_York-New_York_City_New_York.html
The Mercer Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"147 Mercer St, at Prince St, New York City, NY 10012-3203",Booking.com,300,4.5,715,616-1083,"['Restaurant', 'Room Service', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Children Activities (Kid / Family Friendly)', 'Dry Cleaning', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Breakfast Available', 'Airport Transportation', 'Babysitting', 'Air Conditioning', 'Minibar', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",355,4.0 Star Hotel,/Hotel_Review-g60763-d112053-Reviews-The_Mercer_Hotel-New_York_City_New_York.html
Doubletree Hotel Metropolitan - New York City,2017-11-01,12/9/2017,12/10/2017,2,1,"569 Lexington Ave, at East 51st Street, New York City, NY 10022-7562",Doubletree.com,"4,915",3.5,369,131-475,"['Restaurant', 'Room Service', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Free Internet', 'Room Service', 'Business Center with Internet Access', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Air Conditioning', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",329,4.0 Star Hotel,/Hotel_Review-g60763-d93466-Reviews-Doubletree_Hotel_Metropolitan_New_York_City-New_York_City_New_York.html
DoubleTree Suites by Hilton Hotel New York City - Times Square,2017-11-01,12/9/2017,12/10/2017,2,1,"1568 Broadway, 47th Street, New York City, NY 10036-8201",Doubletree.com,"8,166",4.5,693,192-650,"['Restaurant', 'Room Service', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Free Internet', 'Business Center with Internet Access', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Air Conditioning', 'Microwave', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",188,4.0 Star Hotel,/Hotel_Review-g60763-d93352-Reviews-DoubleTree_Suites_by_Hilton_Hotel_New_York_City_Times_Square-New_York_City_New_York.html
The Lucerne Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"201 West 79th Street, New York City, NY 10024-6200",Booking.com,"2,429",4.5,327,201-539,"['Restaurant', 'Room Service', 'Fitness Center with Gym / Workout Room', 'Free High Speed Internet ( WiFi )', 'Room Service', 'Business Center with Internet Access', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Self-Serve Laundry', 'Air Conditioning', 'Restaurant', 'Fitness Center with Gym / Workout Room']",135,4.0 Star Hotel,/Hotel_Review-g60763-d99281-Reviews-The_Lucerne_Hotel-New_York_City_New_York.html
Grand Hyatt New York,2017-11-01,12/9/2017,12/10/2017,2,1,"109 East 42nd Street, Park Avenue at Grand Central Terminal, New York City, NY 10017-8500",Hyatt.com,"8,948",4,404,190-521,"['Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Room Service', 'Business Center with Internet Access', 'Meeting Rooms', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Banquet Room', 'Room Service', 'Multilingual Staff', 'Conference Facilities', 'Breakfast Available', 'Air Conditioning', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",328,4.0 Star Hotel,/Hotel_Review-g60763-d93450-Reviews-Grand_Hyatt_New_York-New_York_City_New_York.html
YOTEL New York at Times Square West,2017-11-01,12/9/2017,12/10/2017,2,1,"570 10th Avenue, (West 42nd Street), New York City, NY 10036-3001",Booking.com,"11,085",4.5,341,142-408,"['Free High Speed Internet ( WiFi )', 'Bar/Lounge', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Business Center with Internet Access', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Air Conditioning', 'Bar/Lounge', 'Restaurant', 'Fitness Center with Gym / Workout Room']",131,4.0 Star Hotel,/Hotel_Review-g60763-d2079052-Reviews-YOTEL_New_York_at_Times_Square_West-New_York_City_New_York.html
W New York - Times Square,2017-11-01,12/9/2017,12/10/2017,2,1,"1567 Broadway at 47th St, New York City, NY 10036-1517",Priceline,"4,328",4,564,249-661,"['Restaurant', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Free High Speed Internet ( WiFi )', 'Bar/Lounge', 'Pool', 'Room Service', 'Business Center with Internet Access', 'Meeting Rooms', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Pool']",269,4.5 Star Hotel,/Hotel_Review-g60763-d235238-Reviews-W_New_York_Times_Square-New_York_City_New_York.html
Paramount Hotel Times Square New York,2017-11-01,12/9/2017,12/10/2017,2,1,"235 W 46th Street, Between Broadway & 8th Avenue, New York City, NY 10036-1409",Booking.com,"4,612",3.5,396,127-443,"['Restaurant', 'Room Service', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room', 'Free Internet', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Conference Facilities', 'Air Conditioning', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",395,4.0 Star Hotel,/Hotel_Review-g60763-d93517-Reviews-Paramount_Hotel_Times_Square_New_York-New_York_City_New_York.html
Wellington Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"871 7th Avenue at W 55th St, New York City, NY 10019",Booking.com,"6,992",3.5,332,117-411,"['Room Service', 'Restaurant', 'Room Service', 'Dry Cleaning', 'Laundry Service', 'Multilingual Staff', 'Concierge', 'Breakfast Available', 'Restaurant']",326,3.0 Star Hotel,/Hotel_Review-g60763-d99307-Reviews-Wellington_Hotel-New_York_City_New_York.html
The Watson Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"440 West 57th Street, New York City, NY 10019-3013",Travelocity,"4,401",3.5,327,125-379,"['Room Service', 'Restaurant', 'Pool', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Room Service', 'Business Center with Internet Access', 'Airport Transportation', 'Dry Cleaning', 'Meeting Rooms', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Breakfast Available', 'Restaurant', 'Pool', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",359,3.5 Star Hotel,/Hotel_Review-g60763-d93344-Reviews-The_Watson_Hotel-New_York_City_New_York.html
New York Marriott Marquis,2017-11-01,12/9/2017,12/10/2017,2,1,"1535 Broadway, At 45th Street, New York City, NY 10036",Booking.com,"11,259",4,814,305-747,"['Room Service', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Room Service', 'Business Center with Internet Access', 'Meeting Rooms', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Breakfast Available', 'Air Conditioning', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",174,4.5 Star Hotel,/Hotel_Review-g60763-d93507-Reviews-New_York_Marriott_Marquis-New_York_City_New_York.html
Row NYC Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"700 8th Avenue, New York City, NY 10036-3901",Booking.com,"19,388",3.5,422,127-399,"['Restaurant', 'Free Internet', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Business Center with Internet Access', 'Multilingual Staff', 'Breakfast Available', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",356,4.0 Star Hotel,/Hotel_Review-g60763-d1938661-Reviews-Row_NYC_Hotel-New_York_City_New_York.html
NYLO New York City,2017-11-01,12/9/2017,12/10/2017,2,1,"2178 Broadway, at W 77th Street, New York City, NY 10024-6647",Expedia.com,"5,405",4,439,182-550,"['Restaurant', 'Free Internet', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room', 'Business Center with Internet Access', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Breakfast Available', 'Air Conditioning', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room', 'Tennis Court']",184,4.0 Star Hotel,/Hotel_Review-g60763-d99288-Reviews-NYLO_New_York_City-New_York_City_New_York.html
Warwick New York,2017-11-01,12/9/2017,12/10/2017,2,1,"65 West 54th Street, New York City, NY 10019-5404",Hotwire.com,"4,418",4.5,569,225-605,"['Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Room Service', 'Business Center with Internet Access', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Room Service', 'Breakfast Available', 'Air Conditioning', 'Refrigerator in room', 'Minibar', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",107,4.5 Star Hotel,/Hotel_Review-g60763-d112064-Reviews-Warwick_New_York-New_York_City_New_York.html
The New Yorker A Wyndham Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"481 8TH Avenue, New York City, NY 10001-1809",Agoda.com,"11,632",4,386,158-429,"['Restaurant', 'Fitness Center with Gym / Workout Room', 'Free Internet', 'Bar/Lounge', 'Room Service', 'Business Center with Internet Access', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Air Conditioning', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",276,4.0 Star Hotel,/Hotel_Review-g60763-d122005-Reviews-The_New_Yorker_A_Wyndham_Hotel-New_York_City_New_York.html
