location_cell,id,2017-12-06 to 2017-12-07,2017-12-16 to 2017-12-17,2017-12-26 to 2017-12-27
44.0,13589669,59,68,90
44.0,18707757,65,65,65
44.0,18049811,49,49,49
44.0,1141071,93,93,93
44.0,6170845,67,85,67
44.0,4645319,69,63,69
0.0,13377231,110,110,110
0.0,13845645,200,250,241
0.0,4271452,249,249,225
0.0,19635001,550,550,550
0.0,20325146,250,250,250
0.0,19997367,120,120,120
0.0,10143705,60,60,60
0.0,19547469,90,90,90
0.0,11591700,325,325,400
0.0,20249634,490,320,550
0.0,11315578,475,475,475
0.0,17524441,90,90,90
0.0,12282345,99,99,99
0.0,1793411,199,199,199
0.0,16186551,190,190,400
0.0,852483,180,180,180
0.0,9107046,95,95,95
0.0,1977888,125,125,125
0.0,11465084,210,150,210
56.0,13874243,220,170,171
56.0,7835680,150,150,150
56.0,13531930,398,398,398
56.0,1243883,170,160,160
56.0,837164,185,185,165
56.0,1132907,200,200,200
56.0,18792188,57,65,55
56.0,7858741,150,150,150
56.0,3219614,270,270,195
56.0,11293039,295,295,295
56.0,456457,315,315,315
56.0,6524913,175,175,175
56.0,10576533,95,95,95
56.0,898669,175,175,175
56.0,7556003,225,225,225
56.0,15274032,100,100,100
56.0,2220431,100,105,105
121.0,19428130,115,115,115
121.0,8208285,185,200,185
121.0,3531190,249,259,249
121.0,3870294,250,250,250
121.0,4278720,145,175,145
121.0,13614173,419,419,419
121.0,961477,171,178,220
121.0,13730284,331,478,595
121.0,14347502,101,105,106
121.0,262478,95,95,95
121.0,7310330,300,300,300
121.0,14991,90,90,90
121.0,4815765,77,77,77
