amadeus_name,tripadvisor_name,amadeus_code,tripadvisor_url,amadeus_address,tripadvisor_address,lat,lon
Marco Laguardia Lexington,Marco LaGuardia Hotel by Lexington,YXLGA432,/Hotel_Review-g47729-d601474-Reviews-Marco_LaGuardia_Hotel_by_Lexington-Flushing_Queens_New_York.html,13707 Northern Blvd,"13707 Northern Blvd, Flushing, NY 11354-4116",40.76355,-73.83101
The William Vale,The William Vale,YXNYCWVH,/Hotel_Review-g60827-d8738248-Reviews-The_William_Vale-Brooklyn_New_York.html,111 North 12 Street,"111 North 12th Street, Brooklyn, NY 11249",40.72229,-73.95668
Laguardia Plaza Hotel,LaGuardia Plaza Hotel - New York,WWLGAE65,/Hotel_Review-g47626-d93644-Reviews-LaGuardia_Plaza_Hotel_New_York-East_Elmhurst_Queens_New_York.html,104-04 Dilmars Blvd,"10404 Ditmars Blvd, East Elmhurst, NY 11369-1665",40.76751,-73.86622
Days Inn Marine Park,Days Inn Brooklyn Borough Park,DINYC986,/Hotel_Review-g60827-d12579252-Reviews-Days_Inn_Brooklyn_Borough_Park-Brooklyn_New_York.html,1766 East 49th Street,"1766 East 49th Street, Brooklyn, NY 11234",40.61752,-73.9278
Hilton Brooklyn New York,Hilton Brooklyn New York,HHNYC554,/Hotel_Review-g60827-d10184216-Reviews-Hilton_Brooklyn_New_York-Brooklyn_New_York.html,140 Schermerhorn Street,"140 Schermerhorn St, Brooklyn, NY 11201-5987",40.6898,-73.9882
Crowne Plaza Jfk Airport Nyc,Crowne Plaza JFK Airport New York City,CPNYC58E,/Hotel_Review-g47962-d4786615-Reviews-Crowne_Plaza_JFK_Airport_New_York_City-Jamaica_Queens_New_York.html,138-10 135th Avenue,"13810 135th Ave, Jamaica, NY 11436-2102",40.66776,-73.79924
Bw Queens Court Hotel,Best Western Queens Court Hotel,BWNYC111,/Hotel_Review-g47729-d249780-Reviews-Best_Western_Queens_Court_Hotel-Flushing_Queens_New_York.html,133-51 39th Avenue,"13351 39th Ave, Flushing, NY 11354-4432",40.75938,-73.83344
The Ritz-carlton Westchester,"The Ritz-Carlton New York, Westchester",RZNYCRWZ,/Hotel_Review-g48883-d910070-Reviews-The_Ritz_Carlton_New_York_Westchester-White_Plains_New_York.html,3 Renaissance Square,"3 Renaissance Square, White Plains, NY 10601-3001",41.03288,-73.76729
1 Hotel Brooklyn Bridge,1 Hotel Brooklyn Bridge,BINYCHBB,/Hotel_Review-g60827-d10421761-Reviews-1_Hotel_Brooklyn_Bridge-Brooklyn_New_York.html,60 Furman Street,"60 Furman St, Brooklyn, NY 11201-1325",40.70224,-73.99554
Hltn Grdn Inn Long Island City,Hilton Garden Inn Long Island City Queensboro Bridge,GIISP963,/Hotel_Review-g48080-d7202189-Reviews-Hilton_Garden_Inn_Long_Island_City_Queensboro_Bridge-Long_Island_City_Queens_New_York.html,29 21 41st Avenue,"29-21 41st Avenue, Long Island City, NY 11101",40.75027,-73.93688
Comfort Inn Long Island City,Comfort Inn,CILGA265,/Hotel_Review-g48080-d281640-Reviews-Comfort_Inn-Long_Island_City_Queens_New_York.html,42-24 Crescent St.,"4224 Crescent St, Long Island City, NY 11101-4217",40.7494,-73.94167
La Quinta Inn Ste Brooklyn Central,La Quinta Inn & Suites Brooklyn Central,LQNYC570,/Hotel_Review-g60827-d12064061-Reviews-La_Quinta_Inn_Suites_Brooklyn_Central-Brooklyn_New_York.html,1229 Atlantic Avenue,"1229 Atlantic Ave., Brooklyn, NY 11216",40.67861,-73.95014
Days Inn Brooklyn Crown Height,Days inn Brooklyn Crown Heights,DIJFK196,/Hotel_Review-g60827-d12280686-Reviews-Days_inn_Brooklyn_Crown_Heights-Brooklyn_New_York.html,1691 East New York Ave,"1691 East New York Ave, Brooklyn, NY 11212",40.6747,-73.90581
