name,check_in,check_out,adults,rooms,provider,reviews,rating,price,features,url
Cambria hotel & suites New York - Chelsea,2017-12-09,2017_12_10,2,1,CambriaHotels,903,4.5,399,"['Room Service', 'Restaurant', 'Bar/Lounge', 'Spa', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Air Conditioning', 'Microwave', 'Refrigerator in room', 'Restaurant', 'Bar/Lounge', 'Spa', 'Fitness Center with Gym / Workout Room']",/Hotel_Review-g60763-d7130807-Reviews-Cambria_hotel_suites_New_York_Chelsea-New_York_City_New_York.html
The New York EDITION,2017-12-09,2017_12_10,2,1,EDITION,"1,085",4.5,816,"['Free High Speed Internet ( WiFi )', 'Room Service', 'Restaurant', 'Bar/Lounge', 'Spa', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Air Conditioning', 'Minibar', 'Restaurant', 'Bar/Lounge', 'Spa', 'Fitness Center with Gym / Workout Room']",/Hotel_Review-g60763-d7787303-Reviews-The_New_York_EDITION-New_York_City_New_York.html
Hyatt Centric Times Square New York,2017-12-09,2017_12_10,2,1,Booking.com,"4,003",4.5,603,"['Restaurant', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Room Service', 'Spa', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Air Conditioning', 'Refrigerator in room', 'Restaurant', 'Bar/Lounge', 'Spa', 'Fitness Center with Gym / Workout Room']",/Hotel_Review-g60763-d4799063-Reviews-Hyatt_Centric_Times_Square_New_York-New_York_City_New_York.html
The NoMad Hotel,2017-12-09,2017_12_10,2,1,TripAdvisor,833,4.5,625,"['Room Service', 'Restaurant', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Air Conditioning', 'Minibar', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",/Hotel_Review-g60763-d2643161-Reviews-The_NoMad_Hotel-New_York_City_New_York.html
The Peninsula New York,2017-12-09,2017_12_10,2,1,The Peninsula,"1,117",4.5,1186,"['Pool', 'Room Service', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Free High Speed Internet ( WiFi )', 'Bar/Lounge', 'Spa', 'Room Service', 'Children Activities (Kid / Family Friendly)', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Babysitting', 'Breakfast Available', 'Air Conditioning', 'Refrigerator in room', 'Minibar', 'Pool', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Spa', 'Heated pool', 'Indoor pool', 'Tennis Court']",/Hotel_Review-g60763-d113311-Reviews-The_Peninsula_New_York-New_York_City_New_York.html
Park South Hotel,2017-12-09,2017_12_10,2,1,Booking.com,"2,393",4.5,404,"['Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Children Activities (Kid / Family Friendly)', 'Dry Cleaning', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Meeting Rooms', 'Air Conditioning', 'Fitness Center with Gym / Workout Room']",/Hotel_Review-g60763-d225942-Reviews-Park_South_Hotel-New_York_City_New_York.html
"Homewood Suites by Hilton New York/Midtown Manhattan Times Square-South, NY",2017-12-09,2017_12_10,2,1,Homewood,"2,537",4.5,424,"['Free Internet', 'Fitness Center with Gym / Workout Room', 'Breakfast included', 'Business Center with Internet Access', 'Breakfast included', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Self-Serve Laundry', 'Conference Facilities', 'Microwave', 'Air Conditioning', 'Fitness Center with Gym / Workout Room']",/Hotel_Review-g60763-d5040757-Reviews-Homewood_Suites_by_Hilton_New_York_Midtown_Manhattan_Times_Square_South_NY-New_York_Cit.html
Conrad New York,2017-12-09,2017_12_10,2,1,AMOMA,"3,374",4.5,293,"['Free High Speed Internet ( WiFi )', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Bar/Lounge', 'Meeting Rooms', 'Business Center with Internet Access', 'Room Service', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Air Conditioning', 'Refrigerator in room', 'Minibar', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",/Hotel_Review-g60763-d208452-Reviews-Conrad_New_York-New_York_City_New_York.html
the Quin,2017-12-09,2017_12_10,2,1,Priceline,"2,883",4.5,919,"['Fitness Center with Gym / Workout Room', 'Free High Speed Internet ( WiFi )', 'Room Service', 'Bar/Lounge', 'Restaurant', 'Business Center with Internet Access', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Conference Facilities', 'Air Conditioning', 'Minibar', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Restaurant']",/Hotel_Review-g60763-d234762-Reviews-The_Quin-New_York_City_New_York.html
The Michelangelo Hotel,2017-12-09,2017_12_10,2,1,HotelQuickly,"3,633",4.5,607,"['Fitness Center with Gym / Workout Room', 'Room Service', 'Free High Speed Internet ( WiFi )', 'Bar/Lounge', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Air Conditioning', 'Minibar', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",/Hotel_Review-g60763-d93589-Reviews-The_Michelangelo_Hotel-New_York_City_New_York.html
Arlo NoMad,2017-12-09,2017_12_10,2,1,AMOMA,561,4.5,414,"['Restaurant', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Breakfast Available', 'Air Conditioning', 'Refrigerator in room', 'Restaurant', 'Bar/Lounge']",/Hotel_Review-g60763-d10541730-Reviews-Arlo_NoMad-New_York_City_New_York.html
Kimpton Hotel Eventi,2017-12-09,2017_12_10,2,1,Booking.com,"3,447",4.5,483,"['Fitness Center with Gym / Workout Room', 'Restaurant', 'Room Service', 'Bar/Lounge', 'Spa', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Breakfast Available', 'Air Conditioning', 'Minibar', 'Fitness Center with Gym / Workout Room', 'Restaurant', 'Bar/Lounge', 'Spa']",/Hotel_Review-g60763-d1456560-Reviews-Kimpton_Hotel_Eventi-New_York_City_New_York.html
Fitzpatrick Manhattan Hotel,2017-12-09,2017_12_10,2,1,Elvoline,"1,318",4.5,506,"['Room Service', 'Restaurant', 'Bar/Lounge', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Air Conditioning', 'Restaurant', 'Bar/Lounge']",/Hotel_Review-g60763-d113309-Reviews-Fitzpatrick_Manhattan_Hotel-New_York_City_New_York.html
The Bernic Hotel,2017-12-09,2017_12_10,2,1,HotelQuickly,227,4.5,407,"['Room Service', 'Restaurant', 'Free High Speed Internet ( WiFi )', 'Bar/Lounge', 'Room Service', 'Dry Cleaning', 'Laundry Service', 'Multilingual Staff', 'Concierge', 'Air Conditioning', 'Restaurant', 'Bar/Lounge']",/Hotel_Review-g60763-d8776490-Reviews-The_Bernic_Hotel-New_York_City_New_York.html
"Mandarin Oriental, New York",2017-12-09,2017_12_10,2,1,Mandarin Oriental,"1,482",4.5,1395,"['Pool', 'Restaurant', 'Room Service', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Spa', 'Free Internet', 'Business Center with Internet Access', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Babysitting', 'Air Conditioning', 'Minibar', 'Pool', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Spa', 'Hot Tub', 'Heated pool', 'Indoor pool']",/Hotel_Review-g60763-d281071-Reviews-Mandarin_Oriental_New_York-New_York_City_New_York.html
Chelsea Pines Inn,2017-12-09,2017_12_10,2,1,Booking.com,"2,148",4.5,287,"['Free High Speed Internet ( WiFi )', 'Breakfast included', 'Breakfast included', 'Concierge', 'Multilingual Staff', 'Air Conditioning']",/Hotel_Review-g60763-d122020-Reviews-Chelsea_Pines_Inn-New_York_City_New_York.html
World Hotel,2017-12-09,2017_12_10,2,1,Expedia.com,373,1.5,75,['Free Internet'],/Hotel_Review-g60763-d267183-Reviews-World_Hotel-New_York_City_New_York.html
The Jane,2017-12-09,2017_12_10,2,1,Hotwire.com,"1,412",4,110,"['Restaurant', 'Free High Speed Internet ( WiFi )', 'Concierge', 'Air Conditioning', 'Restaurant']",/Hotel_Review-g60763-d1181739-Reviews-The_Jane-New_York_City_New_York.html
Blue Moon Hotel,2017-12-09,2017_12_10,2,1,Booking.com,553,4,114,"['Free High Speed Internet ( WiFi )', 'Breakfast included', 'Room Service', 'Breakfast included', 'Room Service', 'Air Conditioning', 'Hot Tub']",/Hotel_Review-g60763-d601762-Reviews-Blue_Moon_Hotel-New_York_City_New_York.html
Morningside Inn,2017-12-09,2017_12_10,2,1,Agoda.com,859,3,125,"['Free High Speed Internet ( WiFi )', 'Air Conditioning']",/Hotel_Review-g60763-d249710-Reviews-Morningside_Inn-New_York_City_New_York.html
U.S. Pacific Hotel,2017-12-09,2017_12_10,2,1,Booking.com,54,2.5,130,"['Free High Speed Internet ( WiFi )', 'Air Conditioning']",/Hotel_Review-g60763-d8722421-Reviews-U_S_Pacific_Hotel-New_York_City_New_York.html
