name,date_scraped,check_in,check_out,adults,rooms,address,lat,lon,provider,reviews,rating,price,range,amenities,tripadvisor rank,star rating,url
"Club Quarters Hotel, Midtown",2017-11-01,12/9/2017,12/10/2017,2,1,"40 W 45th St, New York City, NY 10036-4261",,,Priceline,"1,524",4,395,156-432,"['Free High Speed Internet ( WiFi )', 'Room Service', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Business Center with Internet Access', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Conference Facilities', 'Air Conditioning', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",203,4.0 Star Hotel,/Hotel_Review-g60763-d223021-Reviews-Club_Quarters_Hotel_Midtown-New_York_City_New_York.html
Wingate by Wyndham Manhattan Midtown,2017-11-01,12/9/2017,12/10/2017,2,1,"235 W 35th St, New York City, NY 10001-1901",,,Booking.com,"2,205",4,404,139-418,"['Fitness Center with Gym / Workout Room', 'Restaurant', 'Free High Speed Internet ( WiFi )', 'Breakfast included', 'Business Center with Internet Access', 'Breakfast included', 'Multilingual Staff', 'Meeting Rooms', 'Microwave', 'Fitness Center with Gym / Workout Room', 'Restaurant']",340,3.0 Star Hotel,/Hotel_Review-g60763-d620040-Reviews-Wingate_by_Wyndham_Manhattan_Midtown-New_York_City_New_York.html
Courtyard New York Manhattan/Herald Square,2017-11-01,12/9/2017,12/10/2017,2,1,"71 W 35th St, at 6th Avenue, New York City, NY 10001-2112",40.7504174,-73.9868834,Priceline,766,4.5,503,185-544,"['Fitness Center with Gym / Workout Room', 'Free High Speed Internet ( WiFi )', 'Dry Cleaning', 'Laundry Service', 'Business Center with Internet Access', 'Concierge', 'Multilingual Staff', 'Meeting Rooms', 'Self-Serve Laundry', 'Fitness Center with Gym / Workout Room']",112,3.5 Star Hotel,/Hotel_Review-g60763-d4053479-Reviews-Courtyard_New_York_Manhattan_Herald_Square-New_York_City_New_York.html
Oakwood Sonoma,2017-11-01,12/9/2017,12/10/2017,2,1,"300 E 39th St, New York City, NY 10016-2140",38.4574687,-122.6804302,,0,-1,,189-303,"['Pool', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Bar/Lounge', 'Room Service', 'Concierge', 'Pool', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Tennis Court']",,,/Hotel_Review-g60763-d234766-Reviews-Oakwood_Sonoma-New_York_City_New_York.html
Riff Chelsea,2017-11-01,12/9/2017,12/10/2017,2,1,"300 W 30th St at 8th Ave, New York City, NY 10001",,,Hotels.com,,2.5,,78-277,['Free High Speed Internet ( WiFi )'],446,2.0 Star Hotel,/Hotel_Review-g60763-d208888-Reviews-Riff_Chelsea-New_York_City_New_York.html
The Plaza,2017-11-01,12/9/2017,12/10/2017,2,1,"Fifth Avenue at Central Park South, New York City, NY 10019",52.0977181,19.0258159,,"2,357",4.5,,546-1950,"['Restaurant', 'Room Service', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Spa', 'Room Service', 'Business Center with Internet Access', 'Airport Transportation', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Babysitting', 'Air Conditioning', 'Minibar', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Spa']",96,5.0 Star Hotel,/Hotel_Review-g60763-d675616-Reviews-The_Plaza-New_York_City_New_York.html
The Marlton Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"5 W 8th St, New York City, NY 10011-9099",39.8912248,-74.9218325,Expedia.com,615,4.5,425,246-468,"['Restaurant', 'Free High Speed Internet ( WiFi )', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Air Conditioning', 'Minibar', 'Restaurant']",119,4.5 Star Hotel,/Hotel_Review-g60763-d4972409-Reviews-The_Marlton_Hotel-New_York_City_New_York.html
The Amsterdam Inn,2017-11-01,12/9/2017,12/10/2017,2,1,"340 Amsterdam Ave, at 76th Street, New York City, NY 10024-6932",40.7814188,-73.9799422,,110,3,,69-109,"['Breakfast included', 'Breakfast included', 'Meeting Rooms', 'Business Center with Internet Access', 'Air Conditioning', 'Hot Tub']",423,1.5 Star Hotel,/Hotel_Review-g60763-d260396-Reviews-The_Amsterdam_Inn-New_York_City_New_York.html
Oakwood at 6th Avenue,2017-11-01,12/9/2017,12/10/2017,2,1,"888 Avenue of the Americas, New York City, NY 10001-3502",,,,59,4.5,,183-183,"['Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Self-Serve Laundry', 'Concierge', 'Air Conditioning', 'Microwave', 'Refrigerator in room', 'Fitness Center with Gym / Workout Room']",382,,/Hotel_Review-g60763-d1146072-Reviews-Oakwood_at_6th_Avenue-New_York_City_New_York.html
Element New York Times Square West,2017-11-01,12/9/2017,12/10/2017,2,1,"311 West 39th Street, Between 8th and 9th, New York City, NY 10018-1401",40.7558033,-73.9918123458424,AMOMA,"4,180",4,442,144-468,"['Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Breakfast included', 'Pool', 'Business Center with Internet Access', 'Breakfast included', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Self-Serve Laundry', 'Conference Facilities', 'Air Conditioning', 'Microwave', 'Fitness Center with Gym / Workout Room', 'Pool']",302,3.5 Star Hotel,/Hotel_Review-g60763-d1852917-Reviews-Element_New_York_Times_Square_West-New_York_City_New_York.html
